stock_ticker,sic
GNRC,3621
GNW,6311
GNW,6311
GNW20,6311
GOOG,7370
GOOGL,7370
GOOGL,7370
GPC,5013
GPN,7374
GPOR,1311
GPORQ,1311
GPRO,3861
GPT,6798
GR,3728
GR,3728
GRPN,5960
GS,6211
GS,6211
GSB,7372
GT,3011
GT,3011
GTE,1311
GTE.,1311
GTK,7370
GTKYY,7990
GTKYY,7990
GTS,6324
GTW,3571
GWW,5000
GWW,5000
GXP,4911
GXP.PF,4911
GYI,7330
HAL,1389
HAL,1389
HAR,3651
HAR,3651
HAS,3944
HAS,3944
HBAN,6020
HBAN,6020
HBI,2300
HCA,8062
HCA.2,8062
HCBK,6035
HCBK,6035
HD,5211
HD,5211
HDS,5000
HES,1311
HES,1311
HEW,7374
HGM,3711
HGSI,2835
HGSI,2835
HI,3530
HIB,6020
HIG,6331
HIG,6331
HIG.PG,6331
HII,3730
HL,1040
HLIT,3663
HLNQ,7011
HLT,7011
HLT.1,7011
HLX,1389
HMA,9995
HMA.U,9995
HNT,6324
HNZ,2030
HNZ,2030
HOG,3751
HOG,3751
HOLX,3844
HOLX,3844
HON,9997
HON,9997
HON.WI,9997
HOOD,6211
HOT,7011
HOT,7011
HOV,1531
HOVNP,1531
HOVVB,1531
HP,1381
HP,1381
HPE,3571
HPE.WI,3571
HPE.WI.1,3571
HPQ,3570
HPQ,3570
HRB,7200
HRB,7200
HRC,2590
HRI,7350
HRL,2011
HSH,2013
HSIC,5047
HSIC,5047
HSP,2834
HSY,2060
HSY,2060
HTZ,7510
HTZGQ,7510
HUB.A,3640
HUBB,3640
HUBS,7370
HUM,6324
HUM,6324
HUN,2860
HYLN,3711
IAC,7370
IACB.U,7310
IBM,7370
IBM,7370
ICE,6200
ICE,6200
ICIX,4813
ICN,6722
ICOS,2834
ICPT,2836
ICST,3674
IDCC,6794
IDTI,3674
IDTI,3674
IDXX,2835
IFF,2860
IFFT,2860
IFMX,3845
IGT,7990
ILMN,3826
ILMN,3826
IMNX,2836
IMS,8700
INCY,2836
INCY,2836
INFA,7370
INO,2836
INTC,3674
INTC,3674
INTU,7372
INTU,7372
IONS,2836
IP,2631
IP,2631
IPG,7311
IPG,7311
IPGP,3674
IPHI,3674
IQV,8731
IR,3560
IRF,3674
IRM,6798
ISIL,3674
ISRG,3845
ISRG,3845
ISSX,7372
IT,8700
ITC,4911
ITMN,2836
ITT,3561
ITT,3561
ITW,3560
ITW,3560
IWOV,7372
JAH,3089
JBHT,4213
JBHT,4213
JBL,3672
JBL,3672
JBLU,4512
JBLU,4512
JCG,5621
JCI,3585
JCI,3585
JCI.PZ,3585
JCI.PZ,3585
JHF,6311
JNJ,2834
JNJ,2834
JNPR,3576
JNPR,3576
JNS,6282
JNY,2330
JOE,7011
JOY,3532
JPM,6020
JPM,6020
JPM.PD,6020
JPM.PJ,6020
JUNO,2836
JWN,5651
JWN,5651
K,2040
K,2040
KATE,2300
KBH,1531
KBR,7370
KCI,2836
KCI,2836
KDP,2080
KEI,3825
KEINB,3825
KEY,6020
KEY,6020
KEYS,3825
KG,2834
KG,2834
KHC,2030
KITE,2836
KKD,5400
KKR,6282
KKR.PC,6282
KLAC,3827
KLAC,3827
KMB,2621
KMB,2621
KMG,2860
KMI,4923
KMI.1,4923
KMX,5500
KMX,5500
KNX,4213
KO,2086
KO,2086
KR,5411
KR,5411
KRB,6020
KRFT,2000
KRI,2711
KSS,5311
KSS,5311
KSU,4011
KSU,4011
KSU.P,4011
L,6331
L,6331
LAD,5500
LAMR,6798
LAZR,3714
LBRDA,4812
LBRDB,4812
LBRDK,4812
LBTYA,4841
LBTYA,4841
LBTYB,4841
LBTYB,4841
LBTYK,4841
LBTYK,4841
LCC,4512
LCC,4512
LCID,3711
LDOS,7373
LEA,2531
LEA,2531
LEARQ,2531
LEN,1531
LEN,1531
LEN.B,1531
LEN.B,1531
LH,8071
LH,8071
LHX,3812
LITE,3576
LLL.,2300
LLTC,3674
LLTC,3674
LLY,2834
LLY,2834
LM,6282
LM,6282
LMDIA,4841
LMDIB,4841
LMND,6331
LMT,3760
LMT,3760
LNC,6311
LNC,6311
LNC.P,6311
LNC.PD,6311
LNCR,8090
LNG,1311
LNKD,7370
LO,2111
LO,2111
LOGM,7370
LOW,5211
LOW,5211
LPLA,6211
LRCX,3559
LRCX,3559
LSCC,3674
LSCC,3674
LSI,6798
LSI,6798
LULU,2300
LUMN,4813
LUV,4512
LUV,4512
LVGO,3845
LVLT,4813
LVLT,4813
LVS,7990
LVS,7990
LW,2030
LXK,3577
LXK,3577
LYFT,4100
LYO,2860
LYV,7900
LZ,8111
M,5311
M,5311
MA,7389
MA,7389
MAN,7363
MAR,7011
MAR,7011
MARA,7370
MAS,3430
MAS,3430
MASI,3845
MAT,3942
MAT,3942
MATK,2833
MAY,6726
MBI,6351
MCD,5812
MCD,5812
MCHP,3674
MCHP,3674
MCIP,4813
MCK,5122
MCK,5122
MCO,7323
MCO,7323
MDB,7370
MDC,1531
MDCO,2834
MDLZ,2052
MDT,3845
MDT,3845
MDVN,2836
ME,8071
MEE,1220
MEE,1220
MELI,5960
MER,6211
MET,6311
MET,6311
MET.PA,6311
MET.PF,6311
META,7370
MEU,6311
MFE,7372
MFE,7372
MGG,4610
MGM,7990
MGM,7990
MGNI,7310
MHK,2273
MHK,2273
MHS,5912
MHS,5912
MI,7370
MIK.1,5945
MJN,2020
MKC,2090
MKC.V,2090
MKTX,6200
MLM,1400
MLM,1400
MLNM,2835
MMC,6411
MMC,6411
MMI,6531
MMM,9997
